Ticker,Name,Sector,Industry,Definition
KARURVYSYA,Karur Vysya Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
KAYA,Kaya Limited,Specialized Consumer Services,Specialized Consumer Services,"Owners and operators of hotels, resorts
etc. Includes investment trusts where
underlying is 'Hotels and Resorts'"
KAYNES,Kaynes Technology India Limited,Electronic Technology,Electronic Technology,"Companies engaged in software
development, IT consulting and data
analytics"
KBCGLOBAL,KBC Global Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KCP,KCP Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
KDDL,KDDL Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
KEC,KEC International Limited,Heavy Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KECL,Kirloskar Electric Company Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
KEI,KEI Industries Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
KELLTONTEC,Kellton Tech Solutions Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KESORAMIND,Kesoram Industries Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
KEYFINSERV,Keynote Financial Services Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
KFINTECH,Kfin Technologies Limited,Technology Services,Technology Services,"Companies providing dredging and related
services"
KHADIM,Khadim India Limited,Footwear,Footwear,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
KHAITANLTD,Khaitan (India) Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
KHANDSE,Khandwala Securities Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
KICL,Kalyani Investment Company Limited,INVESTMENT COMPANIES,INVESTMENT COMPANIES,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
KILITCH,Kilitch Drugs (India) Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare  - Facilities,Healthcare  - Facilities,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
KINGFA,Kingfa Science & Technology (India) Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
KIOCL,KIOCL Limited,Iron & Steel and Intermediary Products,Iron & Steel and Intermediary Products,"Manufacturer, supplier and distributor of
cement, cement products"
KIRIINDUS,Kiri Industries Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KIRLOSBROS,Kirloskar Brothers Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KIRLOSENG,Kirloskar Oil Engines Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KIRLOSIND,Kirloskar Industries Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KIRLPNU,Kirloskar Pneumatic Company Limited,Producer Manufacturing,Producer Manufacturing,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
KITEX,Kitex Garments Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
KKCL,Kewal Kiran Clothing Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
KMSUGAR,K.M.Sugar Mills Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
KNRCON,KNR Constructions Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
KOKUYOCMLN,Kokuyo Camlin Limited,Non-Durable Household Products,Non-Durable Household Products,"Manufacturers and distributors of bicycles
and tricycles"
KOLTEPATIL,Kolte - Patil Developers Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KOPRAN,Kopran Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KOTAKBANK,Kotak Mahindra Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
KOTARISUG,Kothari Sugars And Chemicals Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
KOTHARIPET,Kothari Petrochemicals Limited,Petrochemicals,Petrochemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KOTHARIPRO,Kothari Products Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
KPIGREEN,KPI Green Energy Limited,Utilities,Utilities,"Companies engaged into water supply and
management"
KPITTECH,KPIT Technologies Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
KPRMILL,K.P.R. Mill Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
KRBL,KRBL Limited,Packaged Foods,Packaged Foods,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
KREBSBIO,Krebs Biochemicals and Industries Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
KRISHANA,Krishana Phoschem Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
KRITI,Kriti Industries (India) Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
KRITINUT,Kriti Nutrients Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
KRSNAA,Krsnaa Diagnostics Limited,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
KSB,Ksb Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
KSCL,Kaveri Seed Company Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
KSL,Kalyani Steels Limited,Iron & Steel and Intermediary Products,Iron & Steel and Intermediary Products,"Manufacturer, supplier and distributor of
cement, cement products"
KSOLVES,Ksolves India Limited,Technology Services,Technology Services,"Companies providing dredging and related
services"
KTKBANK,The Karnataka Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
KUANTUM,Kuantum Papers Limited,Paper & Paper Products,Paper & Paper Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
LAMBODHARA,Lambodhara Textiles Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
LANDMARK,Landmark Cars Limited,Retail Trade,Retail Trade,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LAOPALA,La Opala RG Limited,GLASS,GLASS,"Companies engaged in marketing and/ or
transportation of gases"
LASA,Lasa Supergenerics Limited,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
LATENTVIEW,Latent View Analytics Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LAXMICOT,Laxmi Cotspin Limited,SPINNING-COTTON/BLENDED,SPINNING-COTTON/BLENDED,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
LAXMIMACH,Lakshmi Machine Works Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LEMONTREE,Lemon Tree Hotels Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
LEXUS,Lexus Granito (India) Limited,Producer Manufacturing,Producer Manufacturing,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
LGBBROSLTD,LG Balakrishnan & Bros Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
LGBFORGE,LGB Forge Limited, Industrial Products, Industrial Products,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
LIBAS,Libas Consumer Products Limited,FABRICS & GARMENTS,FABRICS & GARMENTS,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Companies,Housing Finance Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
LICI,Life Insurance Corporation Of India,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
LIKHITHA,Likhitha Infrastructure Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
LINC,Linc Limited,Non-Durable Household Products,Non-Durable Household Products,"Manufacturers and distributors of bicycles
and tricycles"
LINCOLN,Lincoln Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LINDEINDIA,Linde India Limited,Industrial Gases,Industrial Gases,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
LLOYDSME,Lloyds Metals And Energy Limited,Non-Energy Minerals,Non-Energy Minerals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LODHA,Macrotech Developers Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LOKESHMACH,Lokesh Machines Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LORDSCHLO,Lords Chloro Alkali Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare  - Facilities,Healthcare  - Facilities,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
LOVABLE,Lovable Lingerie Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
LOYALTEX,Loyal Textile Mills Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
LPDC,Landmark Property Development Company Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
LT,Larsen & Toubro Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
LTIM,LTIMindtree Limited,Commercial Services,Commercial Services,"Companies providing dredging and related
services"
LTTS,L&T Technology Services Limited,Internet Software & Services,Internet Software & Services,"Companies providing dredging and related
services"
LUMAXIND,Lumax Industries Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
LUMAXTECH,Lumax Auto Technologies Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
LUPIN,Lupin Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LUXIND,Lux Industries Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
LXCHEM,Laxmi Organic Industries Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LYKALABS,Lyka Labs Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
MAANALU,Maan Aluminium Limited,ALUMINIUM,ALUMINIUM,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MADRASFERT,Madras Fertilizers Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
MAGADSUGAR,Magadh Sugar & Energy Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
MAGNUM,Magnum Ventures Limited,Paper & Paper Products,Paper & Paper Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
MAHABANK,Bank of Maharashtra,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MAHEPC,Mahindra EPC Irrigation Limited,PLASTIC PRODUCTS,PLASTIC PRODUCTS,Producers and distributors of edible oil
MAHESHWARI,Maheshwari Logistics Limited,LOGISTICS SOLUTION PROVIDER,LOGISTICS SOLUTION PROVIDER,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MAHLIFE,Mahindra Lifespace Developers Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MAHLOG,Mahindra Logistics Limited,LOGISTICS SOLUTION PROVIDER,LOGISTICS SOLUTION PROVIDER,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MAHSCOOTER,Maharashtra Scooters Limited,INVESTMENT COMPANIES,INVESTMENT COMPANIES,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
MAHSEAMLES,Maharashtra Seamless Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MAITHANALL,Maithan Alloys Limited,Iron & Steel and Intermediary Products,Iron & Steel and Intermediary Products,"Manufacturer, supplier and distributor of
cement, cement products"
MALLCOM,Mallcom (India) Limited,Consumer Non-Durables,Consumer Non-Durables,"Manufacturers and distributors of bicycles
and tricycles"
MANAKCOAT,Manaksia Coated Metals & Industries Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MANAKSIA,Manaksia Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MANALIPETC,Manali Petrochemicals Limited,Petrochemicals,Petrochemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MANAPPURAM,Manappuram Finance Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MANGALAM,Mangalam Drugs And Organics Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
MANGLMCEM,Mangalam Cement Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MANINFRA,Man Infraconstruction Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MANORAMA,Manorama Industries Limited,Consumer Non-Durables,Consumer Non-Durables,"Manufacturers and distributors of bicycles
and tricycles"
MANORG,Mangalam Organics Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MANYAVAR,Vedant Fashions Limited,Retail Trade,Retail Trade,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MAPMYINDIA,C.E. Info Systems Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MARALOVER,Maral Overseas Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
MARATHON,Marathon Nextgen Realty Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MARICO,Marico Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
MARINE,Marine Electricals (India) Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MARKSANS,Marksans Pharma Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MARSHALL,Marshall Machines Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MARUTI,Maruti Suzuki India Limited,Cars & Utility Vehicles,Cars & Utility Vehicles,"Companies engaged into water supply and
management"
MASFIN,MAS Financial Services Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MASTEK,Mastek Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MATRIMONY,Matrimony.Com Limited,Internet Software & Services,Internet Software & Services,"Companies providing dredging and related
services"
MAWANASUG,Mawana Sugars Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
MAXHEALTH,Max Healthcare Institute Limited,Healthcare  - Facilities,Healthcare  - Facilities,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
MAYURUNIQ,Mayur Uniquoters Ltd,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
MAZDA,Mazda Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MAZDOCK,Mazagon Dock Shipbuilders Limited,Defence,Defence,"Companies engaged into multiple business
segment, where no single business
segment contributes more than 50% of
companies' total revenue and two or
more segments each contributes at least
20% of total revenue"
MBAPL,Madhya Bharat Agro Products Limited,PESTICIDES AND AGROCHEMICALS,PESTICIDES AND AGROCHEMICALS,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MEDANTA,Global Health Limited,Health Services,Health Services,"Companies providing dredging and related
services"
MEDICAMEQ,Medicamen Biotech Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MEDICO,Medico Remedies Limited,Health Technology,Health Technology,"Companies engaged in software
development, IT consulting and data
analytics"
MEDPLUS,Medplus Health Services Limited,Retail Trade,Retail Trade,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MEGASOFT,Megasoft Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MEGASTAR,Megastar Foods Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
MENONBE,Menon Bearings Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
METROBRAND,Metro Brands Limited,Retail Trade,Retail Trade,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
METROPOLIS,Metropolis Healthcare Limited,Healthcare  - Services,Healthcare  - Services,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
MFSL,Max Financial Services Limited,Life Insurance,Life Insurance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
MGEL,Mangalam Global Enterprise Limited,CONSUMER FOOD,CONSUMER FOOD,Producers and distributors of edible oil
MGL,Mahanagar Gas Limited,Oil Marketing & Distribution,Oil Marketing & Distribution,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MHRIL,Mahindra Holidays & Resorts India Limited,Hotels,Hotels,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
MICEL,MIC Electronics Limited,Health Technology,Health Technology,"Companies engaged in software
development, IT consulting and data
analytics"
MIDHANI,Mishra Dhatu Nigam Limited,Defence,Defence,"Companies engaged into multiple business
segment, where no single business
segment contributes more than 50% of
companies' total revenue and two or
more segments each contributes at least
20% of total revenue"
MINDACORP,Minda Corporation Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
MINDTECK,Mindteck (India) Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
MIRCELECTR,MIRC Electronics Limited,Consumer Electronics,Consumer Electronics,"Owners and operators of hotels, resorts
etc. Includes investment trusts where
underlying is 'Hotels and Resorts'"
MMFL,MM Forgings Limited, Industrial Products, Industrial Products,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
MMP,MMP Industries Limited,ALUMINIUM,ALUMINIUM,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MMTC,MMTC Limited,Trading Companies & Distributors,Trading Companies & Distributors,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
MODISONLTD,MODISON LIMITED,Industrial Services,Industrial Services,"Companies providing dredging and related
services"
MOHITIND,Mohit Industries Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
MOIL,MOIL Limited,Mining,Mining,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
MOL,Meghmani Organics Limited,PESTICIDES AND AGROCHEMICALS,PESTICIDES AND AGROCHEMICALS,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
MOLDTECH,Mold-Tek Technologies Limited,IT ENABLED SERVICES - SOFTWARE,IT ENABLED SERVICES - SOFTWARE,"Companies providing dredging and related
services"
